group_id,leader,member,Label ,Canonical_leader ,Brand ,Name ,Package ,Promotion
267,19 crime white chard 75cl,19 crime chardonnay 750ml,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime chardonnay 75cl,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime white chard 75cl,True ,19 crime white chardonnay 750 ml,,,,
269,19 crime wine 70cl 19 crime red wine,19 crime wine 70cl 19 crime red wine,True ,19 crime wine red wine 700 ml,,,,
270,19 crines red wine 75cl,19 crime red 75cl,True ,19 crines red wine 750 ml,,,,
270,19 crines red wine 75cl,19 crime red vine 75cl,True ,19 crines red wine 750 ml,,,,
270,19 crines red wine 75cl,19 crime red wine,True ,19 crines red wine 750 ml,,,,
270,19 crines red wine 75cl,19 crime red wine 750ml,True ,19 crines red wine 750 ml,,,,
270,19 crines red wine 75cl,19 crime red wine 75cl,True ,19 crines red wine 750 ml,,,,
34891,19 crines red wine 75cl,19 crime rose wine 75cl,False ,19 crime rose wine 750 ml,,,,
270,19 crines red wine 75cl,19 crime wine 70cl,True ,19 crines red wine 750 ml,,,,
270,19 crines red wine 75cl,19 crines red wine 75cl,True ,19 crines red wine 750 ml,,,,
271,190 g 6 pk kellogg variety cereal pack,190 g 6 pk kellogg variety cereal pack,True ,kellogg variety cereal 6 pack x 190 g,,,,
272,190 g box of cadburys rose chocolate,190 g box of cadburys rose chocolate,True ,cadburys rose chocolate 190 g,,,,
277,19crimes red wine 750ml,19crimes red wine 750ml,True ,19crimes red wine 750 ml,,,,
278,1cadburys button 95g,1cadburys button 95g,True ,cadburys button 95 g,,,,
279,1l capri sun appleblackcurrant juice,1l capri sun appleblackcurrant juice,True ,capri sun appleblackcurrant juice 1 L,,,,
280,1l capri sun orange juice,1l capri sun orange juice,True ,capri sun orange juice 1 L,,,,
293,1wash and go 2in1,1wash and go 2in1,True ,wash and go 2in1 1 unit,,,,
294,2 bloo toilet block,2 bloo toilet block,True ,bloo toilet block 2 units,,,,
295,2 cod fillet boneless,2 cod fillet boneless,True ,cod fillet boneless 2 units,,,,
296,2 four cheese pizza,2 four cheese pizza,True ,four cheese pizza 2 units,,,,
303,2 litre red,1 litre red,True ,litre red 2 units,,,,
303,2 litre red,2 litre red,True ,litre red 2 units,,,,
307,2 ltr 7up free lemon lime bottle,2 ltr 7up free lemon lime bottle,True ,7up free lemon lime bottle 2 L,,,,
316,2 ltr barr shandy,2 ltr barr shandy,True ,barr shandy 2 L,,,,
322,2 ltr fresh semi milk,2 ltr fresh semi milk,True ,fresh semi milk 2 L,,,,
324,2 ltr ice valley still water,2 ltr ice valley still water,True ,ice valley still water 2 L,,,,
326,2 ltr irn bru extra,2 ltr irn bru extra,True ,irn bru extra 2 L,,,,
330,2 ltr levi root caribbean twist,2 ltr levi root caribbean twist,True ,levi root caribbean twist 2 L,,,,
338,2 ltr strongbow,2 ltr strongbow,True ,strongbow 2 L,,,,
339,2 ltr tango orange bottle,2 ltr tango orange bottle,True ,tango orange bottle 2 L,,,,
341,2 pack bird eye battered cod fillet,2 pack bird eye battered cod fillet,True ,bird eye battered cod fillet 2 pack,,,,
342,2 pack clear tape,2 pack clear tape,True ,clear tape 2 pack,,,,
343,2 pack large garlic and corriander naan,2 pack large garlic and corriander naan,True ,large garlic and corriander naan 2 pack,,,,
344,2 pack large plain naan,2 pack large plain naan,True ,large plain naan 2 pack,,,,
345,2 plain naan bread,2 plain naan bread,True ,naan bread 2 pack,,,,
346,2 smoked haddock fillet boneless,2 smoked haddock fillet boneless,True ,smoked haddock fillet boneless 2 units,,,,
347,2 white baguette,2 white baguette,True ,white baguette 2 units,,,,
348,2 x 100 g mccain micro chip,2 x 100 g mccain micro chip,True ,mccain micro chip 2 x 100 g,,,,
349,2.5 kg wagg complete chicken dog food,2.5 kg wagg complete beef dog food,True ,wagg complete chicken dog food 2.5 kg,,,,
349,2.5 kg wagg complete chicken dog food,2.5 kg wagg complete chicken dog food,True ,wagg complete chicken dog food 2.5 kg ,,,,
352,2.5 ltr omega cider,2.5 ltr omega cider,True ,omega cider 2.5 L,,,,
353,20 b h s ky blue king size,20 b h s ky blue king size,True ,b h sky blue king size,,,,
355,20 cl bell,20 cl bell,True ,bell 200 ml,,,,
356,20 cl chekov,20 cl chekov,True ,chekov 200 ml,,,,
358,20 cl courvoisier,20 cl courvoisier,True ,20 cl courvoisier 200 ml,,,,
359,20 cl gordons original,20 cl gordons original,True ,gordons original 200 ml,,,,
360,20 cl jacobite,20 cl jacobite,True ,acobite 200 ml,,,,
361,20 cl smirnoff,20 cl smirnoff,True ,smirnoff 200 ml,,,,
362,20 club king size,20 club king size,True ,20 club king size,,,,
363,20 club superkings,20 club superkings,True ,20 club superkings,,,,
364,20 g caramel freddo,20 g caramel freddo,True ,caramel freddo 20 g,,,,
368,20 g pub original pork crunch,20 g pub original pork crunch,True ,pub original pork crunch 20 g ,,,,
370,20 large refuse sack,20 large refuse sack,True ,large refuse sack 20 units,,,,
371,20 mal bra gold,20 mal bra gold,True ,mal bra gold 20 units,,,,
373,20 mtr cling film roll,20 mtr cling film roll,True ,cling film roll 20 mtr,,,,
374,20 pack large freezer bag,20 pack large freezer bag,True ,large freezer bag 20 pack ,,,,
376,20 roll bin liner,20 roll bin liner,True ,bin liner 20 units,,,,
379,200 g cheese slice,200 g cheese slice,True ,cheese slice 200 g ,,,,
384,200 g delicatessen chicken and chorizo bite,200 g delicatessen chicken and chorizo bite,True ,delicatessen chicken and chorizo bite 200 g ,,,,
389,200 g fox crunch cream golden,200 g fox crunch cream golden,True ,fox crunch cream golden 200 g ,,,,
390,200 g fox sport,200 g fox sport,True ,fox sport 200 g ,,,,
394,200 g happy shopper tomato puree,200 g happy shopper tomato puree,True ,happy shopper tomato puree 200 g ,Happy Shopper ,,,
395,200 g jack fruit shorties,200 g jack fruit shorties,True ,jack fruit shorties 200 g ,,,,
406,200 ml e apple,200 ml e apple,True ,e apple 200 ml,,,,
408,200 ml insette hairspray,200 ml insette hairspray,True ,insette hairspray 200 ml,,,,
411,200 ml swann universal gas refill,200 ml swann universal gas refill,True ,swann universal gas refill 200 ml ,,,,
412,200 nappy bag,200 nappy bag,True ,nappy bag 200 units,,,,
414,20g quaver cheese,20g quaver cheese,True ,quaver cheese 20 g,,,,
416,21 g snap,21 g snap,True ,snap 21 g,,,,
418,215 g old el passo jalapeno,215 g old el passo jalapeno,True ,old el passo jalapeno 215 g ,,,,
420,220 g aunt bessies yorkshire pudding,220 g aunt bessies yorkshire pudding,True ,aunt bessies yorkshire pudding 220 g ,,,,
422,225 g hp brown sauce,225 g hp brown sauce,True ,hp brown sauce 225 g ,,,,
423,225 ml haid shoulder 2 in 1,225 ml haid shoulder 2 in 1,True ,haid shoulder 2 in 1 225 ml ,,,,
424,225 ml studio 200 professional mousse,225 ml studio 200 professional mousse,True ,studio 200 professional mousse 225 ml ,,,,
426,227 g jack fiary cake mix,227 g jack fiary cake mix,True ,jack fiary cake mix 227 g ,,,,
428,227 g prince pineapple slice,227 g prince pineapple slice,True ,prince pineapple slice 227 g ,,,,
430,23 g chomp,23 g chomp,True ,chomp 23 g ,,,,
432,24 biscuit cereal,24 biscuit ceral,True ,biscuit cereal 24 units,,,,
432,24 biscuit cereal,24 biscuit cereal,True ,biscuit cereal 24 units,,,,
433,24 egg medium,24 egg medium,True ,egg medium 24 units,,,,
434,24 flash extra large wipe,24 flash extra large wipe,True ,flash extra large wipe 24 units,,,,
436,240 g ant powder,240 g ant powder,True ,ant powder 240 g ,,,,
437,240 ml happy shopper calming lavender air freshener,240 ml happy shopper calming lavender air freshener,True ,happy shopper calming lavender air freshener 240 ml ,Happy Shopper ,,,
438,240 ml happy shopper fresh linen air freshener,240 ml happy shopper fresh linen air freshener,True ,happy shopper fresh linen air freshener 240 ml ,Happy Shopper ,,,
439,240 ml happy shopper summer breeze air freshener,240 ml happy shopper summer breeze air freshener,True ,happy shopper summer breeze air freshener 240 ml ,Happy Shopper ,,,
441,25 cl wray and nephew white rum,25 cl wray and nephew white rum,True ,wray and nephew white rum 250 ml,,,,
442,25 dl envelope,25 c5 envelope,True ,dl envelope 25 units,,,,
442,25 dl envelope,25 dl envelope,True ,dl envelope 25 units,,,,
443,25 g fisherman friend,25 g fisherman friend,True ,fisherman friend 25 g,,,,
444,25 g milkybar,25 g milkybar,True ,milkybar 25 g ,,,,
448,25 refuse sack,25 refuse sack,True ,refuse sack 25 units,,,,
449,250 g bird eye 10pk value fish finger,250 g bird eye 10pk value fish finger,True ,bird eye value fish finger 250 g,,,,
458,250 g jack squirty dairy cream,250 g jack squirty dairy cream,True ,jack squirty dairy cream 250 g,,,,
459,250 g kerrygold lard,250 g kerrygold lard,True ,kerrygold lard 250 g,,,,
460,250 g royal dane bacon grill,250 g royal dane bacon grill,True ,royal dane bacon grill 250 g,,,,
466,250 ml e blackcurrant,250 ml e blackcurrant,True ,blackcurrant 250 ml,,,,
467,250 ml e cola,250 ml e cola,True ,cola 250 ml,,,,
468,250 ml e energy drink,250 ml e energy drink,True ,energy drink 250 ml,,,,
469,250 ml e lemonade,250 ml e lemonade,True ,lemonade 250 ml,,,,
470,250 ml e orange,200 ml e orange,True ,orange 250 ml,,,,
470,250 ml e orange,250 ml e orange,True ,e orange 250 ml,,,,
471,250 ml e sugar free energy drink,250 ml e sugar free energy drink,True ,sugar free energy drink 250 ml,,,,
473,250 ml happy shopper olive oil,250 ml happy shopper olive oil,True ,happy shopper olive oil 250 ml,Happy Shopper ,,,
475,250 ml jascks real mayonnaise,250 ml jascks real mayonnaise,True ,jascks real mayonnaise 250 ml,,,,
476,250 ml jif lemon,250 ml jif lemon,True ,jif lemon 250 ml,,,,
477,250 ml lambrini mango,250 ml lambrini mango,True ,lambrini mango 250 ml,,,,
485,250 ml redbull sugar free,250 ml redbull sugar free,True ,redbull sugar free 250 ml,,,,
490,258184 jack daniel tennessee whiskey blended with apple liqueur 35cl pmp .99,258184 jack daniel tennessee whiskey blended with apple liqueur 35cl pmp .99,True ,258184 jack daniel tennessee whiskey blended with apple 350 ml,,,,
491,259 g green cheesecake mix,259 g green cheesecake mix,True ,green cheesecake mix 259 g,,,,
492,26 g curly wurly,26 g curly wurly,True ,curly wurly 26 g ,,,,
493,26 g fudge,26 g fudge,True ,fudge 26 g ,,,,
494,260 g 10 garlic bread slice,260 g 10 garlic bread slice,True ,garlic bread slice 10 x 260 g,,,,
495,260 g jack chocolate sponge mix,260 g jack chocolate sponge mix,True ,jack chocolate sponge mix 260 g ,,,,
496,260 g mcvites ginger nut,260 g mcvites ginger nut,True ,mcvites ginger nut 260 g ,,,,
498,265 g mcvites milk chocolate digestive,265 g mcvites milk chocolate digestive,True ,mcvites milk chocolate digestive 265 g ,,,,
500,267 g mcvites caramel digestive,267 g mcvites caramel digestive,True ,mcvites caramel digestive 267 g ,,,,
502,275 ml fruit shoot blackcurrant,275 ml fruit shoot blackcurrant,True ,fruit shoot blackcurrant 275 ml ,,,,
503,275 ml fruit shoot orange,275 ml fruit shoot orange,True ,fruit shoot orange 275 ml ,,,,
504,275 ml fruit shoot summer fruit,275 ml fruit shoot summer fruit,True ,fruit shoot summer fruit 275 ml ,,,,
506,28 g kellogg rice krispies square bar,28 g kellogg rice krispies square bar,True ,kellogg rice krispies square bar 28 g ,,,,
507,280 g sharwoods balti cooking sauce pm,280 g sharwoods balti cooking sauce pm,True ,sharwoods balti cooking sauce pm 280 g ,,,,
508,283 g pataks madras paste,283 g pataks madras paste,True ,pataks madras paste 283 g ,,,,
509,284 g elmlea double cream,284 g elmlea double cream,True ,elmlea double cream 284 g ,,,,
510,284 g elmlea single cream,284 g elmlea single cream,True ,elmlea single cream 284 g ,,,,
513,285 g jack chocolate brownie mix,285 g jack chocolate brownie mix,True ,jack chocolate brownie mix 285 g ,,,,
529,2l h cola,2l h cola,True ,h cola 2 L,,,,
530,2l h diet lemonade,2l h diet lemonade,True ,h diet lemonade 2 L,,,,
531,2l h lemonade,2l h lemonade,True ,h lemonade 2 L,,,,
537,2l red kola,2l red kola,True ,red kola 2 L,,,,
538,2l schweppes,2l schweppes,True ,schweppes 2 L,,,,
539,2l schweppes slimline,2l schweppes slimline,True ,schweppes slimline 2 L,,,,
544,2ltr barr cherryade 2l bottle,2ltr barr cherryade 2l bottle,True ,barr cherryade 2 L,,,,
547,2ltr whole fresh milk,2ltr whole fresh milk,True ,whole fresh milk 2 L,,,,
549,2simple cleansing wipe,2simple cleansing wipe,True ,simple cleansing wipe 2 units,,,,
550,3 amp plug fuse 4 pack,3 amp plug fuse 4 pack,True ,3 amp plug fuse 4 pack,,,,
551,3 big dog vodka 70cl,3 big dog vodka 70cl,True ,3 big dog vodka 700 ml,,,,
552,3 discover the choice virtually fat free yogurt mixed 150g,3 discover the choice virtually fat free yogurt mixed 150g,True ,3 discover the choice virtually fat free yogurt mixed 150 g,,,,
553,3 hammer 2.5l,3 hammer 2.5l,True ,3 hammer 2.5 L,,,,
555,3 in 1 action conentrated disinfectant,3 in 1 action concentrated disinfectant,True ,3 in 1 action conentrated disinfectant 1 unit,,,,
555,3 in 1 action conentrated disinfectant,3 in 1 action conentrated disinfectant,True ,3 in 1 action conentrated disinfectant 1 unit,,,,
557,3 pack bic disposable razurs,3 pack bic disposable razurs,True ,bic disposable razurs 3 pack,,,,
